PAYMENT_METHOD_VARIANT,,PAYMENT_METHOD_VARIANT,,,PAYMENT_METHOD_VARIANT,Payment Bucket,International Payment Bucket
alipay,,,,,,,"=if issuer code not equal to AU, use this column for the bucket"
amex,,amex,1,AMEX,amex,Amex/JCB,Amex/JCB
amex_applepay,,amex_applepay,1,AMEX,amex_applepay,Amex/JCB,Amex/JCB
amex_googlepay,,amex_googlepay,1,AMEX,amex_googlepay,Amex/JCB,Amex/JCB
bcmc,,,7,VC/MC Int.Credit,bcmc,Visa/MasterCard International Card Credit,Visa/MasterCard International Card Credit
cup,,,,,cupcredit,Visa/MasterCard International Card Credit,Visa/MasterCard International Card Credit
cupcredit,,,7,VC/MC Int.Credit,cupdebit,Visa/MasterCard International Card Debit,Visa/MasterCard International Card Debit
cupdebit,,,8,VC/MC Int.Debit,diners,Visa/MasterCard International Card Credit,Visa/MasterCard International Card Credit
diners,,,7,VC/MC Int.Credit,discover,Visa/MasterCard International Card Credit,Visa/MasterCard International Card Credit
discover,,,7,VC/MC Int.Credit,eftpos_australia,EFTPOS,EFTPOS
eftpos_australia,,eftpos_australia,2,ETFPOS,eftpos_australia_chq,EFTPOS,EFTPOS
eftpos_australia_chq,,eftpos_australia_chq,2,ETFPOS,eftpos_australia_sav,EFTPOS,EFTPOS
eftpos_australia_sav,,eftpos_australia_sav,2,ETFPOS,electron,Visa/MasterCard International Card Debit,Visa/MasterCard International Card Debit
electron,,electron,8,VC/MC Int.Debit,jcbcredit,Visa/MasterCard International Card Credit,Visa/MasterCard International Card Credit
electron_applepay,,,,,jcbdebit,Visa/MasterCard International Card Debit,Visa/MasterCard International Card Debit
jcb_applepay,,,,,maestro,Visa/MasterCard Domestic Consumer Debit Card,Visa/MasterCard International Card Debit
jcbcredit,,jcbcredit,7,VC/MC Int.Credit,mc,Visa/MasterCard Domestic Consumer Credit Card,Visa/MasterCard International Card Credit
jcbdebit,,jcbdebit,8,VC/MC Int.Debit,mc_applepay,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
maestro,,maestro,4,VC/MC Domestic Debit,mc_googlepay,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
mc,,mc,3,VC/MC Domestic Credit,mccommercialcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
mc_applepay,,mc_applepay,5,VC/MC Premium Credit,mccommercialdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
mc_googlepay,,mc_googlepay,5,VC/MC Premium Credit,mccorporatecredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
mccommercialcredit,,mccommercialcredit,5,VC/MC Premium Credit,mccorporatedebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
mccommercialdebit,,mccommercialdebit,6,VC/MC Premium Debit,mccredit,Visa/MasterCard Domestic Consumer Credit Card,Visa/MasterCard International Card Credit
mccorporatecredit,,mccorporatecredit,5,VC/MC Premium Credit,mcdebit,Visa/MasterCard Domestic Consumer Debit Card,Visa/MasterCard International Card Debit
