Month,Company Account,Merchant Account,Pricing Plan,Statement Number,Product/Service,Pricing Type,Statement Currency,Revenue,Costs,Margin
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,AcquiringService,asIs,AUD,0,0.69,-0.69
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,AcquiringService,blend,AUD,2041.75,82.87,1958.88
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,AcquiringService,interchange,AUD,0,426.52,-426.52
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,AcquiringService,ixMarkup,AUD,0,27.63,-27.63
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,AcquiringService,schemeFee,AUD,0,196.82,-196.82
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,NonTransactionalSchemeFee,asIs,AUD,6.24,6.24,0.00
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,ProcessingService,fee,AUD,0,153.06,-153.06
2025-04,OolioGroup,BEPOZ_POS_CASINO_CANBERRA,blend11,STM202504014837,SalesDayPayout,blend,AUD,0,24.80,-24.80
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,AcquiringService,asIs,AUD,0,0.78,-0.78
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,AcquiringService,blend,AUD,956.99,31.90,925.09
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,AcquiringService,interchange,AUD,0,234.73,-234.73
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,AcquiringService,ixMarkup,AUD,0,15.03,-15.03
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,AcquiringService,schemeFee,AUD,0,110.65,-110.65
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,NonTransactionalSchemeFee,asIs,AUD,1.28,1.28,0.00
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,ProcessingService,fee,AUD,0,86.70,-86.70
2025-04,OolioGroup,BEPOZ_POS_Capitol_Theatre,blend11,STM202504014829,SalesDayPayout,blend,AUD,0,11.62,-11.62
2025-04,OolioGroup,BEPOZ_POS_Dry_Dock_Hotel,blend08,STM202504014879,AcquiringService,asIs,AUD,0,2.05,-2.05
2025-04,OolioGroup,BEPOZ_POS_Dry_Dock_Hotel,blend08,STM202504014879,AcquiringService,blend,AUD,16293.41,2957.03,13336.38
2025-04,OolioGroup,BEPOZ_POS_Dry_Dock_Hotel,blend08,STM202504014879,AcquiringService,interchange,AUD,0,4618.93,-4618.93
2025-04,OolioGroup,BEPOZ_POS_Dry_Dock_Hotel,blend08,STM202504014879,AcquiringService,ixMarkup,AUD,0,293.78,-293.78
